Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,Variant,TimeControl,ECO,Termination
Rated bullet game,https://lichess.org/s0P49xWy,2024.09.05,?,talmizrahi1,Ruben1985,0-1,2024.09.05,12:13:15,1445,1380,-7,+7,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/aL8s4fmS,2024.09.05,?,hp4g8hat,talmizrahi1,1-0,2024.09.05,12:11:02,1469,1451,+6,-6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/XXc03iOi,2024.09.05,?,gwagnerChess,talmizrahi1,1-0,2024.09.05,12:08:53,1487,1456,+5,-5,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/Y5W8I7LB,2024.09.05,?,talmizrahi1,essa1972,1-0,2024.09.05,12:06:48,1449,1478,+7,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/4IPvmtV5,2024.09.05,?,El_Ucraniano,talmizrahi1,1-0,2024.09.05,11:53:48,1401,1456,+7,-7,Standard,60+0,D02,Time forfeit
Rated bullet game,https://lichess.org/k5woppZH,2024.09.05,?,talmizrahi1,ahmad_hajjar,0-1,2024.09.05,10:47:40,1461,1479,-5,+6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/yn7m7gLV,2024.09.05,?,talmizrahi1,bdeppy,1-0,2024.09.05,10:45:56,1457,1371,+4,-4,Standard,60+0,B01,Normal
Rated bullet game,https://lichess.org/vtjmkbPZ,2024.09.05,?,Klauss14,talmizrahi1,0-1,2024.09.05,10:43:34,1373,1453,-5,+4,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/KA2klE2Q,2024.09.05,?,talmizrahi1,Abhishek9999,0-1,2024.09.05,10:42:22,1459,1407,-6,+7,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/2oEjb7FX,2024.09.05,?,karolaskarol,talmizrahi1,1-0,2024.09.05,10:40:16,1398,1466,+8,-7,Standard,60+0,B54,Time forfeit
Rated bullet game,https://lichess.org/623z1rn0,2024.09.05,?,talmizrahi1,deepaksajwan06,0-1,2024.09.05,10:38:32,1472,1460,-6,+6,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/IfhqBDiL,2024.09.05,?,mosika2001,talmizrahi1,1-0,2024.09.05,10:00:48,1529,1477,+5,-5,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/uQ1dw3Bi,2024.09.05,?,talmizrahi1,dimaBaburin,0-1,2024.09.05,09:58:20,1482,1486,-5,+6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/eU25pVVR,2024.09.05,?,talmizrahi1,LuksonGD,1-0,2024.09.05,09:57:31,1476,1470,+6,-5,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/HJV7bXNS,2024.09.05,?,talmizrahi1,ABDULLAH-MAGDY,1-0,2024.09.05,09:57:23,1471,1502,+5,-42,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/oSPw8KCO,2024.09.05,?,Menmaranth,talmizrahi1,0-1,2024.09.05,06:13:50,1461,1465,-6,+6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/5fhSKC10,2024.09.04,?,harjinagi,talmizrahi1,0-1,2024.09.04,20:33:44,1463,1459,-5,+6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/iYEQOf5d,2024.09.04,?,talmizrahi1,Igrok_161rus,0-1,2024.09.04,20:32:54,1465,1461,-6,+6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/TO3eEdtm,2024.09.04,?,NiSn,talmizrahi1,1-0,2024.09.04,20:31:58,1460,1471,+6,-6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/GwC8SAvg,2024.09.04,?,Ahmadmosaab,talmizrahi1,0-1,2024.09.04,20:29:39,1476,1465,-5,+6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/9sNLbDFt,2024.09.04,?,talmizrahi1,Bartokox,0-1,2024.09.04,20:28:39,1472,1362,-7,+7,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/3LybRqCB,2024.09.04,?,talmizrahi1,Theom69nc,0-1,2024.09.04,20:26:26,1478,1432,-6,+7,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/07Y65ETE,2024.09.04,?,talmizrahi1,Kairat_zko,1-0,2024.09.04,20:24:08,1471,1571,+7,-8,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/xmyixWD2,2024.09.04,?,muroze,talmizrahi1,1-0,2024.09.04,20:23:05,1384,1478,+8,-7,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/Wlsfa3t3,2024.09.04,?,talmizrahi1,ryu2309,1-0,2024.09.04,20:20:50,1473,1452,+5,-5,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/9p5CXnGD,2024.09.04,?,pekmezodsipka,talmizrahi1,1/2-1/2,2024.09.04,20:18:37,1472,1473,+0,+0,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/BVzobFTN,2024.09.04,?,Borkkie,talmizrahi1,1-0,2024.09.04,20:16:16,1477,1479,+6,-6,Standard,60+0,D20,Time forfeit
Rated bullet game,https://lichess.org/OgHM7WT1,2024.09.04,?,talmizrahi1,avansouague,0-1,2024.09.04,20:06:23,1485,1463,-6,+6,Standard,60+0,B30,Normal
Rated bullet game,https://lichess.org/mb6yrtF6,2024.09.04,?,talmizrahi1,Mighty_Gamer12,1-0,2024.09.04,19:19:23,1478,1517,+7,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/Kd3dpdVS,2024.09.04,?,doggedog,talmizrahi1,1-0,2024.09.04,19:17:32,1511,1483,+5,-5,Standard,60+0,D20,Normal
Rated bullet game,https://lichess.org/n53xAzrc,2024.09.04,?,talmizrahi1,luisuma,1-0,2024.09.04,19:16:10,1478,1433,+5,-5,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/vOwMCPHy,2024.09.04,?,jjlynn1289,talmizrahi1,1-0,2024.09.04,19:13:48,1420,1485,+7,-7,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/5e4nIsAd,2024.09.04,?,ildrug0,talmizrahi1,0-1,2024.09.04,19:11:38,1467,1480,-6,+5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/tb4KwvQ6,2024.09.04,?,talmizrahi1,yisus-UwU,0-1,2024.09.04,19:09:53,1485,1511,-5,+6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/9WRDSF0Z,2024.09.04,?,talmizrahi1,clarowi,1-0,2024.09.04,19:07:42,1479,1488,+6,-6,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/l113nFjx,2024.09.04,?,ltarget,talmizrahi1,0-1,2024.09.04,19:05:27,1472,1473,-5,+6,Standard,60+0,A43,Time forfeit
Rated bullet game,https://lichess.org/r2mZYT2H,2024.09.04,?,talmizrahi1,Konstantin_71_TULA,0-1,2024.09.04,19:03:09,1479,1482,-6,+6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/WDj3uUd5,2024.09.04,?,Boell-R,talmizrahi1,1-0,2024.09.04,18:59:54,1502,1484,+5,-5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/vNx6yI9i,2024.09.04,?,sazisovilakazi,talmizrahi1,0-1,2024.09.04,18:57:35,1473,1478,-6,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/XNwrEz87,2024.09.04,?,jjcale,talmizrahi1,0-1,2024.09.04,18:56:01,1535,1472,-10,+6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/IlAqmDH1,2024.09.04,?,talmizrahi1,daveweisberg,0-1,2024.09.04,18:53:45,1478,1443,-6,+6,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/T9VMTzcX,2024.09.04,?,talmizrahi1,amrj7389,1/2-1/2,2024.09.04,18:51:12,1478,1478,+0,+0,Standard,60+0,C65,Time forfeit
Rated bullet game,https://lichess.org/a0Vj8ze7,2024.09.04,?,talmizrahi1,Svetagati,0-1,2024.09.04,18:49:51,1482,1558,-4,+4,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/ito7e5lr,2024.09.04,?,Anas10102005,talmizrahi1,0-1,2024.09.04,18:46:07,1442,1477,-5,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/rK3KTzQW,2024.09.04,?,creatorbeats,talmizrahi1,1-0,2024.09.04,18:43:58,1499,1483,+6,-6,Standard,60+0,A43,Time forfeit
Rated bullet game,https://lichess.org/Z5nXkmD5,2024.09.04,?,fisk87,talmizrahi1,0-1,2024.09.04,18:41:45,1459,1477,-5,+6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/AOTb2xVF,2024.09.04,?,talmizrahi1,sannibhogal,1-0,2024.09.04,18:39:25,1472,1469,+5,-16,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/BJiH49QO,2024.09.04,?,talmizrahi1,nepochamp,1-0,2024.09.04,18:37:01,1466,1450,+6,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/q4GzxKwG,2024.09.04,?,talmizrahi1,Mounshazih,1-0,2024.09.04,18:34:01,1459,1514,+7,-6,Standard,60+0,B02,Time forfeit
Rated bullet game,https://lichess.org/xLf72Lc9,2024.09.04,?,talintorunu,talmizrahi1,1-0,2024.09.04,18:31:44,1465,1465,+6,-6,Standard,60+0,D25,Time forfeit
Rated bullet game,https://lichess.org/2rTvlHBh,2024.09.04,?,talmizrahi1,sergo2117,1-0,2024.09.04,18:29:27,1459,1469,+6,-5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/DW1eiw4M,2024.09.04,?,talmizrahi1,GreatJoeBlack,0-1,2024.09.04,18:27:27,1465,1425,-6,+7,Standard,60+0,B40,Time forfeit
Rated bullet game,https://lichess.org/bxkMyJl2,2024.09.04,?,Sabsabnyc,talmizrahi1,0-1,2024.09.04,18:25:40,1425,1460,-5,+5,Standard,60+0,A04,Normal
Rated bullet game,https://lichess.org/YeacVT0z,2024.09.04,?,PozdeevE,talmizrahi1,1-0,2024.09.04,18:23:18,1425,1467,+7,-7,Standard,60+0,A01,Time forfeit
Rated bullet game,https://lichess.org/fGDL5iiI,2024.09.04,?,Alfred_Lincoln_721,talmizrahi1,0-1,2024.09.04,18:21:13,1512,1460,-7,+7,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/2VR9sCAN,2024.09.04,?,talmizrahi1,Looking1955,1-0,2024.09.04,15:10:06,1456,1353,+4,-4,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/TGJrh2vH,2024.09.04,?,talmizrahi1,anjay988,1-0,2024.09.04,14:21:31,1450,1471,+6,-6,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/ek5AabDT,2024.09.04,?,Nikabanzai,talmizrahi1,0-1,2024.09.04,14:19:10,1439,1444,-6,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/aZ65LvYF,2024.09.04,?,A33011033A,talmizrahi1,1-0,2024.09.04,13:40:28,1509,1449,+5,-5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/tFSntv50,2024.09.04,?,VikII984,talmizrahi1,0-1,2024.09.04,13:40:13,1441,1443,-5,+6,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/xPQAuvx7,2024.09.04,?,talmizrahi1,racingbaseball,0-1,2024.09.04,13:37:57,1449,1409,-6,+7,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/dFrNWv6N,2024.09.04,?,talmizrahi1,MrTDog87,1-0,2024.09.04,12:41:10,1444,1418,+5,-6,Standard,60+0,C64,Time forfeit
Rated bullet game,https://lichess.org/jaqkcRSe,2024.09.04,?,estherpl,talmizrahi1,0-1,2024.09.04,12:38:50,1461,1438,-6,+6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/mHPqpsPA,2024.09.04,?,shadowSeagull,talmizrahi1,0-1,2024.09.04,12:37:33,1476,1432,-12,+6,Standard,60+0,D02,Normal
Rated bullet game,https://lichess.org/m8t7T9H9,2024.09.04,?,talmizrahi1,Darkzombee,0-1,2024.09.04,12:35:43,1437,1465,-5,+28,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/33YhmP8q,2024.09.04,?,kommersant1976,talmizrahi1,0-1,2024.09.04,12:34:11,1432,1431,-6,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/AHjdCxyj,2024.09.04,?,talmizrahi1,AR_03T,0-1,2024.09.04,12:32:10,1437,1373,-6,+7,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/fDAsaQe6,2024.09.04,?,ivant13,talmizrahi1,0-1,2024.09.04,12:30:00,1456,1431,-6,+6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/lWbt09dx,2024.09.04,?,talmizrahi1,BTM22,0-1,2024.09.04,12:29:00,1437,1449,-6,+5,Standard,60+0,B10,Normal
Rated bullet game,https://lichess.org/PxB2Ruxf,2024.09.04,?,romanaday,talmizrahi1,1-0,2024.09.04,12:26:58,1459,1442,+6,-5,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/zB9UiFMm,2024.09.04,?,talmizrahi1,RAINYER24,0-1,2024.09.04,12:25:14,1448,1436,-6,+22,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/tst18XMm,2024.09.04,?,talmizrahi1,Ahmedboulahsen,1-0,2024.09.04,11:04:11,1441,1490,+7,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/TFyL2uvB,2024.09.04,?,hamidzendehdel,talmizrahi1,0-1,2024.09.04,11:01:39,1440,1435,-6,+6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/8k3N3WVq,2024.09.04,?,PPapler,talmizrahi1,0-1,2024.09.04,10:32:32,1508,1428,-7,+7,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/xSoEFQKo,2024.09.04,?,talmizrahi1,Brynnyrb,0-1,2024.09.04,10:30:32,1435,1376,-7,+15,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/M64zHsED,2024.09.04,?,talmizrahi1,sawasan84,0-1,2024.09.04,10:28:43,1440,1454,-5,+6,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/w2YWIHvU,2024.09.04,?,ahadtabriz,talmizrahi1,0-1,2024.09.04,10:26:35,1466,1434,-6,+6,Standard,60+0,A02,Time forfeit
Rated bullet game,https://lichess.org/n963iU07,2024.09.04,?,talmizrahi1,andrzej_slojewicz,1-0,2024.09.04,09:47:16,1428,1426,+6,-6,Standard,60+0,A05,Normal
Rated bullet game,https://lichess.org/PNOAqS3s,2024.09.04,?,lucid_rs,talmizrahi1,0-1,2024.09.04,09:34:57,1369,1424,-5,+4,Standard,60+0,B22,Time forfeit
Rated bullet game,https://lichess.org/ZF6CTOcY,2024.09.04,?,talmizrahi1,joegol,1-0,2024.09.04,09:32:51,1418,1403,+6,-5,Standard,60+0,C41,Normal
Rated bullet game,https://lichess.org/7cFNseYF,2024.09.04,?,talmizrahi1,LannisterTyrion,1-0,2024.09.04,09:08:51,1412,1449,+6,-6,Standard,60+0,C48,Normal
Rated bullet game,https://lichess.org/2XgWe7AZ,2024.09.04,?,Parhelic,talmizrahi1,0-1,2024.09.04,07:47:37,1428,1405,-6,+7,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/mrsoiVcp,2024.09.04,?,DGBerana,talmizrahi1,1-0,2024.09.04,06:14:40,1467,1410,+5,-5,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/TI7yPIOg,2024.09.04,?,talmizrahi1,phaqwta,0-1,2024.09.04,05:54:13,1415,1448,-5,+5,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/YUeq523J,2024.09.03,?,talmizrahi1,Roman0609nn,0-1,2024.09.03,20:11:31,1421,1434,-6,+5,Standard,60+0,C65,Normal
Rated bullet game,https://lichess.org/asQbyryK,2024.09.03,?,aliii1515,talmizrahi1,0-1,2024.09.03,20:09:07,1391,1416,-6,+5,Standard,60+0,A41,Time forfeit
Rated bullet game,https://lichess.org/F8iEEgkM,2024.09.03,?,AnthonyBooks1,talmizrahi1,1-0,2024.09.03,20:06:51,1370,1422,+7,-6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/2zgMoL9K,2024.09.03,?,paramedikimben,talmizrahi1,1-0,2024.09.03,20:04:31,1417,1428,+6,-6,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/s0oK047X,2024.09.03,?,talmizrahi1,SanderStruck,1-0,2024.09.03,20:03:21,1422,1428,+6,-6,Standard,60+0,C50,Normal
Rated bullet game,https://lichess.org/AitUkKsa,2024.09.03,?,talmizrahi1,SpruceHills,1-0,2024.09.03,20:01:14,1416,1416,+6,-6,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/obND5Uae,2024.09.03,?,amin_alv4,talmizrahi1,1-0,2024.09.03,19:59:54,1433,1422,+6,-6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/4VaIOE56,2024.09.03,?,talmizrahi1,jffa,0-1,2024.09.03,19:57:53,1428,1393,-6,+6,Standard,60+0,C47,Time forfeit
Rated bullet game,https://lichess.org/JLPcQy65,2024.09.03,?,jprakash2023,talmizrahi1,1-0,2024.09.03,19:57:10,1468,1433,+6,-5,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/KHNC6mEF,2024.09.03,?,talmizrahi1,edelholz74,1-0,2024.09.03,19:55:55,1428,1398,+5,-5,Standard,60+0,C62,Normal
Rated bullet game,https://lichess.org/Cf5bavSV,2024.09.03,?,talmizrahi1,trek22,1-0,2024.09.03,19:37:13,1422,1422,+6,-26,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/eefHcfuv,2024.09.03,?,IlyasElchampion,talmizrahi1,1-0,2024.09.03,19:23:28,1487,1427,+5,-5,Standard,60+0,B60,Normal
Rated bullet game,https://lichess.org/q8C6cw4n,2024.09.03,?,key4mjy,talmizrahi1,0-1,2024.09.03,19:21:16,1434,1421,-6,+6,Standard,60+0,B53,Time forfeit
Rated bullet game,https://lichess.org/kPtyKe33,2024.09.03,?,talmizrahi1,JulD22,0-1,2024.09.03,19:20:03,1427,1418,-6,+6,Standard,60+0,C48,Normal
Rated bullet game,https://lichess.org/Cgl6XGAx,2024.09.03,?,gazafilgalb,talmizrahi1,1-0,2024.09.03,18:30:12,1411,1433,+6,-6,Standard,60+0,B20,Normal
Rated bullet game,https://lichess.org/1xFb3ikQ,2024.09.03,?,talmizrahi1,frankensteingambit,1-0,2024.09.03,18:27:59,1427,1431,+6,-6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/lp27K1hT,2024.09.03,?,BrainlessBishops,talmizrahi1,0-1,2024.09.03,18:25:50,1460,1421,-6,+6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/2jc1fzlm,2024.09.03,?,talmizrahi1,snowfall25,0-1,2024.09.03,17:56:24,1425,1492,-4,+5,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/ooBfumFY,2024.09.03,?,talmizrahi1,Slava_125,1-0,2024.09.03,17:53:59,1420,1375,+5,-5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/T6ghD12c,2024.09.03,?,prep5,talmizrahi1,0-1,2024.09.03,17:51:42,1441,1414,-6,+6,Standard,60+0,A34,Normal
Rated bullet game,https://lichess.org/ZOsrbgXN,2024.09.03,?,talmizrahi1,Isiahh,1-0,2024.09.03,17:49:12,1409,1354,+5,-5,Standard,60+0,B30,Time forfeit
Rated bullet game,https://lichess.org/OzvHHtIc,2024.09.03,?,Jos02,talmizrahi1,0-1,2024.09.03,17:46:58,1387,1404,-5,+5,Standard,60+0,A04,Time forfeit
Rated bullet game,https://lichess.org/uAjqxLSL,2024.09.03,?,talmizrahi1,Jeanmarc14,0-1,2024.09.03,17:25:46,1408,1506,-4,+4,Standard,60+0,B00,Time forfeit
Rated bullet game,https://lichess.org/Pvhhe5bt,2024.09.03,?,Adam_xd1,talmizrahi1,0-1,2024.09.03,17:23:56,1500,1404,-313,+4,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/lhclFMJg,2024.09.03,?,talmizrahi1,Village_Master,1-0,2024.09.03,16:54:12,1398,1426,+6,-6,Standard,60+0,C00,Time forfeit
Rated bullet game,https://lichess.org/JESBHawg,2024.09.03,?,Jurijgagarin,talmizrahi1,1-0,2024.09.03,13:43:52,1427,1403,+5,-5,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/aIR8msLg,2024.09.03,?,talmizrahi1,timnj,1-0,2024.09.03,13:41:23,1398,1397,+5,-6,Standard,60+0,B10,Time forfeit
Rated bullet game,https://lichess.org/jcnv3ffV,2024.09.03,?,srikanthkommula,talmizrahi1,1-0,2024.09.03,13:39:17,1387,1403,+6,-5,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/FrI9tyPK,2024.09.03,?,digidiamond91,talmizrahi1,0-1,2024.09.03,13:36:41,1368,1398,-7,+5,Standard,60+0,D01,Time forfeit
Rated bullet game,https://lichess.org/KnWNCzLH,2024.09.03,?,talmizrahi1,ValeryGros,1-0,2024.09.03,12:30:43,1392,1414,+6,-6,Standard,60+0,B06,Time forfeit
Rated bullet game,https://lichess.org/gSMzToyE,2024.09.03,?,talmizrahi1,JoyShock,0-1,2024.09.03,11:00:42,1398,1383,-6,+6,Standard,60+0,C50,Time forfeit
Rated bullet game,https://lichess.org/Iupaojzu,2024.09.03,?,Balaji12345,talmizrahi1,0-1,2024.09.03,10:58:19,1383,1392,-5,+6,Standard,60+0,A00,Time forfeit
Rated bullet game,https://lichess.org/M0ctlE0p,2024.09.03,?,rookie_1994,talmizrahi1,0-1,2024.09.03,10:57:11,1358,1387,-5,+5,Standard,60+0,A00,Normal
Rated bullet game,https://lichess.org/4G0ywrrd,2024.09.03,?,vincentfj,talmizrahi1,0-1,2024.09.03,10:55:28,1444,1380,-7,+7,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/yL6Dm4ZQ,2024.09.03,?,talmizrahi1,paulasc,1-0,2024.09.03,10:53:17,1375,1358,+5,-6,Standard,60+0,C42,Normal
Rated bullet game,https://lichess.org/VLYhi8B3,2024.09.03,?,levissie,talmizrahi1,1-0,2024.09.03,10:50:53,1373,1381,+7,-6,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/BkolkO95,2024.09.03,?,talmizrahi1,vitaly1144,1-0,2024.09.03,10:49:52,1375,1366,+6,-6,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/uN9iZ4vR,2024.09.03,?,talmizrahi1,StepToVictory,0-1,2024.09.03,10:47:37,1382,1324,-7,+7,Standard,60+0,C40,Time forfeit
Rated bullet game,https://lichess.org/ZHQA8d4Y,2024.09.03,?,Kamal1106,talmizrahi1,1-0,2024.09.03,10:45:25,1394,1387,+5,-5,Standard,60+0,B23,Time forfeit
Rated bullet game,https://lichess.org/sPmw9WOF,2024.09.03,?,Nopeace,talmizrahi1,1-0,2024.09.03,10:43:44,1393,1393,+6,-6,Standard,60+0,D01,Normal
Rated bullet game,https://lichess.org/hG43Cdrn,2024.09.03,?,talmizrahi1,enricqkwo,1-0,2024.09.03,10:42:02,1388,1372,+5,-25,Standard,60+0,B06,Normal
Rated bullet game,https://lichess.org/XnpMfkyZ,2024.09.03,?,talmizrahi1,stickpresent,0-1,2024.09.03,10:03:22,1393,1389,-5,+8,Standard,60+0,C48,Time forfeit
Rated bullet game,https://lichess.org/29RYTp1J,2024.09.03,?,Mehdi135790,talmizrahi1,1-0,2024.09.03,09:26:54,1399,1399,+6,-6,Standard,60+0,B20,Time forfeit
Rated bullet game,https://lichess.org/DhYzCNbw,2024.09.03,?,arpolar,talmizrahi1,0-1,2024.09.03,09:25:34,1397,1393,-6,+6,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/bKB8rzVs,2024.09.03,?,talmizrahi1,Hassani1393,0-1,2024.09.03,08:16:40,1399,1407,-6,+6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/N2J0E0G6,2024.09.03,?,apmayo,talmizrahi1,0-1,2024.09.03,08:14:26,1338,1394,-4,+5,Standard,60+0,B50,Time forfeit
Rated bullet game,https://lichess.org/exoAKEZ8,2024.09.03,?,talmizrahi1,qwerpoiuy,0-1,2024.09.03,08:12:23,1400,1380,-6,+6,Standard,60+0,C41,Time forfeit
Rated bullet game,https://lichess.org/yIcpjAtg,2024.09.03,?,talmizrahi1,baron383,1-0,2024.09.03,08:10:20,1392,1502,+8,-8,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/VvslAQYl,2024.09.03,?,talmizrahi1,Bo1898,1/2-1/2,2024.09.03,08:08:06,1394,1309,-2,+1,Standard,60+0,C40,Normal
Rated bullet game,https://lichess.org/y3nMH5tz,2024.09.03,?,Daytwelve,talmizrahi1,1-0,2024.09.03,08:05:41,1483,1398,+5,-4,Standard,60+0,B21,Time forfeit
Rated bullet game,https://lichess.org/nvl4mJRJ,2024.09.02,?,talmizrahi1,Anri0303,0-1,2024.09.02,19:50:48,1403,1426,-5,+5,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/6diar2L3,2024.09.02,?,Mario7784,talmizrahi1,1-0,2024.09.02,19:48:59,1399,1409,+6,-6,Standard,60+0,B50,Normal
Rated bullet game,https://lichess.org/huFN9Mns,2024.09.02,?,Rayaan1970,talmizrahi1,0-1,2024.09.02,19:46:11,1409,1403,-6,+6,Standard,60+0,D00,Time forfeit
Rated bullet game,https://lichess.org/dPTwHJqu,2024.09.02,?,jrjacobs,talmizrahi1,0-1,2024.09.02,19:43:48,1473,1396,-6,+7,Standard,60+0,D02,Normal
Rated bullet game,https://lichess.org/sWEKdXlg,2024.09.02,?,talmizrahi1,Valentinkovalenkoch,0-1,2024.09.02,19:41:52,1402,1388,-6,+6,Standard,60+0,B00,Normal
Rated bullet game,https://lichess.org/T1qsiJvh,2024.09.02,?,talmizrahi1,bsfa,1-0,2024.09.02,19:36:30,1397,1364,+5,-5,Standard,60+0,C00,Normal
Rated bullet game,https://lichess.org/F50RstKe,2024.09.02,?,Dr_Biibert,talmizrahi1,0-1,2024.09.02,19:34:20,1363,1392,-5,+5,Standard,60+0,A48,Time forfeit
Rated bullet game,https://lichess.org/NlXUiVJS,2024.09.02,?,doniv,talmizrahi1,0-1,2024.09.02,19:33:07,1416,1385,-6,+7,Standard,60+0,D25,Normal
Rated bullet game,https://lichess.org/HUgroGXc,2024.09.02,?,talmizrahi1,BennyFischer,1-0,2024.09.02,19:30:51,1380,1383,+5,-6,Standard,60+0,B01,Time forfeit
Rated bullet game,https://lichess.org/AktdcdfM,2024.09.02,?,cphama,talmizrahi1,1-0,2024.09.02,19:28:36,1341,1386,+9,-6,Standard,60+0,B54,Time forfeit
Rated bullet game,https://lichess.org/9N0WAB95,2024.09.02,?,talmizrahi1,DaweedHo,1-0,2024.09.02,19:26:19,1381,1326,+5,-5,Standard,60+0,A06,Time forfeit
Rated bullet game,https://lichess.org/xFAjNlau,2024.09.02,?,lmhv,talmizrahi1,0-1,2024.09.02,19:24:31,1259,1377,-3,+4,Standard,60+0,B21,Normal
Rated bullet game,https://lichess.org/cSCcUQSr,2024.09.02,?,talmizrahi1,albocapo,1-0,2024.09.02,19:22:52,1372,1361,+5,-5,Standard,60+0,C00,Normal
